RUN;Nombre;Apellido P;telefono;email personal;email  institucional;DEDICACIï¿½N;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;GRADO ACADï¿½MICO;JERARQUï¿½A ;CARGO;ESTAMENTO
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;;Secretario(a) Estudios;Acadï¿½mico
123712616;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
19028250;Kingsley;Shacklebolt;;kingsley.shacklebolt.perez@gmall.com;kingsley.shacklebolt.perez@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Escuela;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE REGULAR;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;Acadï¿½mico
24441914;Gregory;Goyle;;gregory.goyle.brochet@yeeha.com;gregory.goyle.brochet@lamejor.com;;;;;;;;;;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;ASOCIADO REGULAR;Acadï¿½mico Investigador;Acadï¿½mico
20811745;Wilhelminan.;Grubbly-Plank;345678913;wilhelmina.grubblyplank@gmall.com;wilhelmina.grubblyplank@lamejor.com;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;;;;;PROFESORA ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;0;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Coordinador de Investigacion;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;;;Acadï¿½mico
;;;;;;40;FULL TIME;;;;;0;PROFESORA ASISTENTE REGULAR;;Acadï¿½mico
;;;;;;40;FULL TIME;;;;;;;Secretaria - Escuela;Administrativo
6012;DESIGNAR;POR;;;;;;;;;;DOCTORA;INSTRUCTOR DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;40;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;DOCTORA;ASOCIADA DOCENTE;Profesor 1/2 Jornada;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;PROFESOR ASISTENTE DOCENTE;Director (a) Formaciï¿½n Cont. y Postgra;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;LICENCIATURA;INSTRUCTORA DOCENTE;Secretaria Estudios;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;;;;;PROFESORA ASISTENTE DOCENTE;;Acadï¿½mico
22671518;Mike ;Newell;;;;;;;;;;;;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE REGULAR;;Acadï¿½mico
9017415;Albus;Dumbledore;890123456;albus.dumbledore@coldmail.com;albus.dumbledore@lamejor.com;;FULL TIME;diurno;;;;DOCTOR;ASISTENTE DOCENTE;Director(a) Carrera;
;;;;;;40;FULL TIME;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Director delï¿½ ï¿½rea;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADA DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
16462378;Cho;Chang;;cho.chang.gallo@coldmail.com;cho.chang.gallo@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;Coord. de Clï¿½nicaï¿½;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;0;ASOCIADO DOCENTE;;
;;;;;;;HONORARIO;;;;;;TITULAR DOCENTE;;
;;;;;;;HONORARIO;;;;;;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
13645935;Horace;Slughorn;;horace.slughorn@gmall.com;horace.slughorn@lamejor.com;;;;;;;;;;
21982013;Rowena; Ravenclaw;234567900;rowena.ravenclaw.vargas@gmall.com;rowena.ravenclaw.vargas@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;nocturno;;;DOCTOR;PROFESOR ASOCIADO DOCENTE;Director Inst. Investigaciï¿½n y Postgra;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;Acadï¿½mico Investigador;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;;vespertino;;;DOCTOR;ASISTENTE REGULAR;Coordinador de Investigacion;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASOCIADO DOCENTE;Profesor por Jornada;
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;Coordinador Docente y Formaciï¿½n Contin;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;INSTRUCTORA DOCENTE;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;LICENCIATURA;INSTRUCTOR REGULAR;Coordinador (a) Postgrados;
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;10;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;INSTRUCTOR DOCENTE;;
9734595;Alicia;Spinnet;;alicia.spinnet.bascunan@gmall.com;alicia.spinnet.bascunan@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;Coord. de Seguimiento y Apoyo al Egres;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;40;;;;;;;;Asistente de Titulos y Grados;Administrativo
18231420;David ;Yates;345678910;;;;HONORARIO;diurno;;HOGWARTS;MAGIA;MAGISTER;INSTRUCTOR DOCENTE;;
;;;;;;40;FULL TIME;diurno;vespertino;;;DOCTOR;TITULAR DOCENTE;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;DOCTOR;ASOCIADO REGULAR;;
;;;;;;;JORNADA;diurno;vespertino;;;MAGISTER;ASISTENTE REGULAR;Profesor por Jornada;
;;;;;;10;;diurno;;;;MAGISTER;;;Acadï¿½mico
14793687;George;Weasley;;george.weasley.valdivia@yeeha.com;george.weasley.valdivia@lamejor.com;;;;;;;;;;
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Director(a) Carrera (i);
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;JORNADA;diurno;;;;MAGISTER;ASOCIADO DOCENTE;Profesor 1/2 Jornada;
;;;;;;;HONORARIO;;;;;;;;Acadï¿½mico
17333138;Aurora;Sinistra;;aurora.sinistra@coldmail.com;aurora.sinistra@lamejor.com;;;;;;;;;;
15358632;Fred;Weasley;;fred.weasley.marti@gmall.com;fred.weasley.marti@lamejor.com;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;40;FULL TIME;;vespertino;;;MAGISTER;;;Acadï¿½mico
;;;;;;10;HONORARIO;;vespertino;;;LICENCIATURA;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;ASOCIADA DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;;vespertino;;;0;;;Acadï¿½mico
;;;;;;20;FULL TIME;diurno;;;;DOCTORA;COMISIï¿½N SUPERIOR ASOCIADA DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;;;Acadï¿½mico
13185805;Godric ;Gryffindor;;godric.gryffindor.stippel@yeeha.com;godric.gryffindor.stippel@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;;;Acadï¿½mico
11822639;Salazar ;Slytherin;567890133;salazar.slytherin.avila@yeeha.com;salazar.slytherin.avila@lamejor.com;;HONORARIO;;vespertino;HOGWARTS;MAGIA;MAGISTER;ASOCIADO DOCENTE;;
;;;;;;;;;;;;;INSTRUCTORA DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
16386516;Bathsheda;Babbling;;bathsheda.babbling@gmall.com;bathsheda.babbling@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;;;;;0;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
22219383;Chris ;Columbus;;;;;;;;;;;;;
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;TITULAR DOCENTE;;
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;vespertino;;;LICENCIATURA;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;40;;;;;;;;Coord. de Seguimiento y Apoyo al Egresad;Acadï¿½mico
;;;;;;;JORNADA;diurno;vespertino;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;0;FULL TIME;;;;;PROFESOR ASOCIADO REGULAR;;Acadï¿½mico Investigador;Acadï¿½mico
24120738;Narcissa;Malfoy;;narcissa.malfoy.ramirez@coldmail.com;narcissa.malfoy.ramirez@lamejor.com;;;;;;;;;;
;;;;;;40;FULL TIME;;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;Director(a) Carrera;Acadï¿½mico
;;;;;;10;HONORARIO;;;;;;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;SIN CONOCIMIENTO;;
